symbol,name,sectorName,isETF,isDebt,isGEM
AKBLTFC6,Askari Bank(TFC6),BILLS AND BONDS,False,True,
BAFLTFC6,Bank Al-Falah(TFC6,BILLS AND BONDS,False,True,
BAFLTFC8,Bank Alfalah(TFC8),BILLS AND BONDS,False,True,
BAHLTFC10,BANK AL HABIB LTD. (10TH ISSUE),BILLS AND BONDS,False,True,
BAHLTFC9,Bank Al-Habib(TFC9,BILLS AND BONDS,False,True,
BCEMSTSC,Burj Clean Energy Modaraba Sukuk,BILLS AND BONDS,False,True,
BIPLSC,Bank IslamiSC,BILLS AND BONDS,False,True,
BIPLSC2,BankIslami Pakistan Ltd,BILLS AND BONDS,False,True,
BOPTFC2,Bank Of Punjab(TFC,BILLS AND BONDS,False,True,
HBLTFC2,Habib Bank(TFC2),BILLS AND BONDS,False,True,
HBLTFC3,Habib Bank (TFC3),BILLS AND BONDS,False,True,
HUBPHLSC,Hub Power Holding,BILLS AND BONDS,False,True,
JSBLTFC2,JS Bank Ltd(TFC2),BILLS AND BONDS,False,True,
JSBLTFC3,JS Bank(TFC),BILLS AND BONDS,False,True,
JSBLTFC4,JS BANK (TFC),BILLS AND BONDS,False,True,
KELSC5,K-Electric(Sukuk5),BILLS AND BONDS,False,True,
KELSC6,K-Electric LtdSC6,BILLS AND BONDS,False,True,
KELSTSC,KEL Short Term Sukuk,BILLS AND BONDS,False,True,
KFGB1,Kashf Foundation Gender Bond,BILLS AND BONDS,False,True,
LOADSSTSC,Loads Limited Short Term Sukuk,BILLS AND BONDS,False,True,
MMBLTFC,Mobilink Microfinance Bank TFC,BILLS AND BONDS,False,True,
MUGHALSC,Mughal Steel Sukuk,BILLS AND BONDS,False,True,
P01GIS040226,1 Year GIS Discounted Mat.04-02-26,BILLS AND BONDS,False,True,
P01GIS060326,1 Year GIS Discounted Mat. 06-03-26,BILLS AND BONDS,False,True,
P01GIS080126,1 Year GIS Discounted Mat. 08-01-26,BILLS AND BONDS,False,True,
P01GIS131126,1 Year GIS Discounted Mat 13-11-26,BILLS AND BONDS,False,True,
P01GIS141026,1 YEAR GIS DISCOUNTED MAT. 14-Oct-26,BILLS AND BONDS,False,True,
P01GIS200826,1 Year GIS Discount Mat.20-08-26,BILLS AND BONDS,False,True,
P01GIS230726,1 Year GIS Discounted Mat. 23-07-26,BILLS AND BONDS,False,True,
P01GIS250626,1 Year GIS Discounted Mat.25-06-26,BILLS AND BONDS,False,True,
P01GIS290526,1 Year GIS Discounted Mat.29-05-26,BILLS AND BONDS,False,True,
P01GIS290926,1 Year GIS Discounted Mat. 29-Sep-26,BILLS AND BONDS,False,True,
P01GIS300426,1 Year GIS Discounted Mat.30-04-26,BILLS AND BONDS,False,True,
P02PFL031026,2 Year PIB Floater - Mat.03-Oct-26,BILLS AND BONDS,False,True,
P02PFL090127,2 Year PIB Floater - Mat.09-Jan-26,BILLS AND BONDS,False,True,
P02PFL121226,2 Year PIB Floater - Mat.12-Dec-26,BILLS AND BONDS,False,True,
P02PFL210925,P02PFL210925,BILLS AND BONDS,False,True,
P02PIB160127,P02PIB160127,BILLS AND BONDS,False,True,
P02PIB170727,2-Year PIB Fixed Mat.Date 17-07-27,BILLS AND BONDS,False,True,
P02PIB200926,P02PIB200926,BILLS AND BONDS,False,True,
P03FRR020528,3 Year Fixed Rental Rate Mat.02-05-2028,BILLS AND BONDS,False,True,
P03FRR070328,3 Year Fixed Rental Rate Mat.07-03-28,BILLS AND BONDS,False,True,
P03FRR090128,3 Year Fixed Rental Rate Mat.09-01-28,BILLS AND BONDS,False,True,
P03FRR100527,3 Year Fixed Rental Rate - Mat.10-May-27,BILLS AND BONDS,False,True,
P03FRR141128,3 Year Fixed Rental Rate Mat 14-11-28,BILLS AND BONDS,False,True,
P03FRR180927,3 Year Fixed Rental Rate Mat. 18-09-27,BILLS AND BONDS,False,True,
P03FRR211027,3 Year Fixed Rental Rate Mat.21-10-27,BILLS AND BONDS,False,True,
P03FRR240127,3 Year Fixed Rental Rate-Mat. 24-Jan-27,BILLS AND BONDS,False,True,
P03FRR280627,3 Year Fixed Rental Rate - Mat.28-Jun-27,BILLS AND BONDS,False,True,
P03FRR300528,3 Year Fixed Rental Rate Mat. 30-05-2028,BILLS AND BONDS,False,True,
P03FRR300928,3 Year Fixed Rental Rate Mat.30-09-2028,BILLS AND BONDS,False,True,
P03GVR190528,3 Yr Green Variable Rate - Mat.19-05-28,BILLS AND BONDS,False,True,
P03PFL070227,3 Year PIB Floater - Mat.07-Feb-27,BILLS AND BONDS,False,True,
P03PFL090226,P03PFL090226,BILLS AND BONDS,False,True,
P03PFL191026,P03PFL191026,BILLS AND BONDS,False,True,
P03PFL210926,P03PFL210926,BILLS AND BONDS,False,True,
P03PIB040726,3 Year Fixed PIB - Mat. 04-Jul-26,BILLS AND BONDS,False,True,
P03PIB150227,3 Years Fixed PIB Mat.15-Feb-27,BILLS AND BONDS,False,True,
P03PIB160128,3 Year Fixed PIB - Mat.16-Jan-28,BILLS AND BONDS,False,True,
P03PIB170728,3-Year PIB Fixed Mat.Date 17-07-28,BILLS AND BONDS,False,True,
P03PIB200927,3 Years Fixed PIB - Mat.20-Sep-27,BILLS AND BONDS,False,True,
P03TB080126,P03TB080126,BILLS AND BONDS,False,True,
P03TB111225,3-Month Treasury Bills Mat. Date 11-Dec-,BILLS AND BONDS,False,True,
P03VRR090128,3 Yr Variable Rental Rate -Mat.09-01-28,BILLS AND BONDS,False,True,
P03VRR100527,3 Yr Variable Rental Rate -Mat.10-May-27,BILLS AND BONDS,False,True,
P03VRR180927,3 Yr Variable Rental Rate Mat 18-09-27,BILLS AND BONDS,False,True,
P03VRR211027,3 Yr Variable Rental Rate -Mat.21-Oct-27,BILLS AND BONDS,False,True,
P03VRR240127,3 Yr Variable Rental Rate -Mat.24-Jan-27,BILLS AND BONDS,False,True,
P03VRR280627,3 Yr Variable Rental Rate -Mat.28-Jun-27,BILLS AND BONDS,False,True,
P05FRR070330,5 Yr Fixed Rental Rate - Mat. 07-Mar-30,BILLS AND BONDS,False,True,
P05FRR090130,5 Yr Fixed Rental Rate - Mat. 09-Jan-30,BILLS AND BONDS,False,True,
P05FRR100529,5 Yr Fixed Rental Rate -Mat. 10-May-29,BILLS AND BONDS,False,True,
P05FRR141130,5 Year Fixed Rental Rate Mat 14-11-30,BILLS AND BONDS,False,True,
P05FRR180929,5 Yr Fixed Rental Rate Mat. 18-09-29,BILLS AND BONDS,False,True,
P05FRR211029,5 Yr Fixed Rental Rate - Mat. 21-Oct-29,BILLS AND BONDS,False,True,
P05FRR240129,5 Yr Fixed Rental Rate -Mat. 24-Jan-29,BILLS AND BONDS,False,True,
P05FRR280629,5 Yr Fixed Rental Rate - Mat.28-Jun-29,BILLS AND BONDS,False,True,
P05FRR300530,5 Yr Fixed Rental Rate - Mat. 30-May-30,BILLS AND BONDS,False,True,
P05FRR300930,5 Year Fixed Rental Rate Mat.30-09-2030,BILLS AND BONDS,False,True,
P05GIS091225,P05GIS091225,BILLS AND BONDS,False,True,
P05PFL031029,5 Year PIB Floater - Mat.03-Oct-29,BILLS AND BONDS,False,True,
P05PFL050929,5 Year PIB Floater - Mat.05-Sep-29,BILLS AND BONDS,False,True,
P05PFL060428,P05PFL060428,BILLS AND BONDS,False,True,
P05PFL060526,5 Year PIB Floater - Mat.06-May-25,BILLS AND BONDS,False,True,
P05PFL070229,5 Year PIB Floater - Mat.07-Feb-29,BILLS AND BONDS,False,True,
P05PFL090130,5 Year PIB Floater - Mat.09-Jan-30,BILLS AND BONDS,False,True,
P05PFL100828,5 Year PIB Floater - Mat.10-Aug-28,BILLS AND BONDS,False,True,
P05PFL121229,5 Year PIB Floater - Mat.12-Dec-29,BILLS AND BONDS,False,True,
P05PFL141129,5 Year PIB Floater - Mat.14-Nov-29,BILLS AND BONDS,False,True,
P05PFL141228,5 Year PIB Floater - Mat.14-Dec-28,BILLS AND BONDS,False,True,
P05PFL161127,P05PFL161127,BILLS AND BONDS,False,True,
P05PFL170430,5 Year PIB Floater - Mat.17-Apr-30,BILLS AND BONDS,False,True,
P05PFL171127,5 Year PIB Floater - Mat.17-Nov-27,BILLS AND BONDS,False,True,
P05PFL180429,5 Year PIB Floater - Mat.18-Apr-29,BILLS AND BONDS,False,True,
